,plot
2204,"After his successful night club is blown to flaming bits, Pluto and his band travel across the moon looking for clues as to who is behind the arson. Along with Bruno and Dina, Pluto visits a seedy motel, his secret hide out and the casino of the most powerful man on the moon searching for the evil doer, only to find out that the destruction of his club may have been his own fault"
2205,"A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew."
2206,"Stuart's mother is being over-protective of him, especially when he narrowly escapes injury in a soccer game. His big brother George has also made a new friend, Will, so Stuart is feeing lonely. Stuart rescues a canary, Margalo, from a falcon; she moves in with the Littles. One day, Margalo is nowhere to be found, so Stuart and Snowbell set out across the city to find her while George covers for Stuart (the first time he's had to lie)."
2207,"An undercover narc dies, the investigation stalls, so the Detroit P.D. brings back Nick Tellis, fired 18-months ago when a stray bullet hits a pregnant woman. Tellis teams with Henry Oak, a friend of the dead narc and an aggressive cop constantly under the scrutiny of internal affairs. They follow leads, informants turn up dead, Nick's wife is unhappy he's back on the street, Henry's protective of the dead cop's wife. Nick reads and re-reads the case file, broods, watches Oak's heavy-handed style, sometimes joining in. The brass want to close out the case, Nick and Henry stay on it, and bits of evidence point them to an auto body shop. What actually happened; will Nick ever know?"
2208,"In this fast action-packed thriller, Jonathan (Chris Klein), Marcus (LL Cool J), and Aurora (Rebecca Romijn) compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich (Jean Reno) encourages them to still participate. Petrovich sends his men to attack them while they are on a trip, but Johnathan survives. In the end during a game of Rollberball, Petrovich attempts a public execution of Johnathan, but the question is will Johnathan get revenge."
2209,"Dr. Joe Darrow is a recently widowed doctor. He is grieving due to the death of his pregnant wife in a Red Cross mission in Venezuela. Although being atheist, he began to believe that his dead wife wants to communicate with him, through her young patients in the Pediatrics of a Chicago hospital."
2210,"Fired in disgrace, kids show host Randolph Smiley finds himself out on the street, while his replacement Sheldon Mopes, finds himself on the fast track to success with a new hit show as the proud purple rhino Smoochy. But things take a turn for the worst when Sheldon finds out that some of the people that he works with, and some he doesn't know he's working for, are all in it for the money. Meanwhile, Randolph is slowly turning insane with his only thoughts focusing on killing Smoochy and getting back to his life of luxury."
2211,"A process server, Joe Tyler (played by Matthew Perry) is given the task of serving divorce papers on Sara Moore (Elizabeth Hurley), the wife of of a wealthy Texas businessman. To do so he needs to contend with her attempts at evasion and the attempts of a colleague to undermine him."
2212,"After being falsely accused of stealing the budget for their annual cocktail cruise, three very different fraternity brothers are kicked out of their dorm. In order to clear their name and to secure their future careers, the three dress up in drag and pledge the sorority next door where they learn a few valuable - and hilarious - lessons about themselves and the female species."
2213,"There's something in this house... Something ancient and dark that remains still, hidden and silent. It can only wait, having been concealed in the shadows for years. In fact, its milieu is darkness. Only in it can it show itself and move. It even takes its name: DARKNESS. It's lived here since someone tried to call it, more than forty years ago. Because this house hides a secret, a terrible past, an inconceivably evil act... Seven children, faceless people, a circle that must be completed. And blood, lots of blood..."
2214,"British Thomas Fowler enjoys his life in Saigon working as a reporter for the London Times, covering the conflict in Vietnam between the colonial French powers and the communists, who seem to be winning the war. In the later stages of his career, he takes his job lightly now, filing stories only on occasion, and no longer doing field work. But most important, this posting allows him to escape from what he considers a dreary life in London--including an unsatisfying marriage to a Catholic woman, who will never grant him a divorce--which in turn allows him to have an affair with a young Vietnamese ex-taxi dancer named Phuong, whom he loves and would marry if he were able. Phuong's sister doesn't much like Fowler if only because Fowler cannot provide a stable future for her. His idyllic life is threatened when head office suggests he go back to London. In this way, he decides to write a major story to prove to his superiors that he should stay in Saigon. In 1952, Fowler is called into the local police inspector's office to provide any information on his friend, thirty-ish American Alden Pyle, who has been found murdered. Fowler had met Pyle the previous year when he arrived in Vietnam to work as part of the American contingent in the Economic Aid Mission. Fowler and Pyle's relationship was not always harmonious, initially as Pyle admitted he too was in love with Phuong and wanted to marry her. That antagonistic relationship would extend to their professional lives, around Fowler believing that the story that would allow him to stay in Vietnam was the rise of a man named General Thé, and Pyle's belief that a third power should come in to take over Vietnam from both the French and the communists. The question becomes whether Fowler knows more about Pyle's demise than he lets on to the inspector."
2215,"After witnessing a horrific and traumatic event, Julia Lund, a graduate student in psychology, gradually comes to the realization that everything which scared her as a child could be real. And what's worse, it might be coming back to get her..."
2216,N/A
2217,"Obsessed by the world of pool, Johnny (Mars Callahan) could be one of the best. But his mentor and ""trainer"" Joe (Chazz Palminteri), a shady hustler who decides how and who Johnny plays, is holding him back from his dream. When the day finally comes, Johnny breaks from Joe, which leads to only one thing -- violence. Joe is beaten up by some of Johnny's buddies as a sign to leave him alone, and with this final act of freedom, Johnny leaves the world of pool-sharking. After an ultimatum from his girlfriend Tara ('Alison Eastwood'), Johnny finally commits to a ""real"" job in the construction business, but is soon miserable there. He finds himself spending most of his time with his younger brother Danny (Michael Rosenbaum) who it seems is following in his footsteps on the road to a life Johnny left when he broke from Joe. As for Joe, he is bent on revenge for the beating he took, and soon he has a new protégé Brad (Rick Schroder) who is just as good if not better then Johnny. And he's got his eye on Johnny's brother. The two play a high-stakes game of pool which ends in a huge debt owed to Joe, and soon Johnny finds that his brother is in jail for trying to steal the money he owes. The only way out for Johnny is to play Brad, which results in a ""race to nine"" showdown that pits two of the greatest players against each other for large sums of money, and Johnny and Danny's lives."
2218,"Docu-drama based on the life of Ted Bundy, a serial killer who killed at least 19 young women during the 1970's (though some sources say as many as 30 to 35 were murdered). Set from his college student years, to his first victims, his capture, escape from prison (twice), his final killing spree to his trial, conviction and execution."
2219,N/A
2220,"A senior at an elite college, already under severe pressure to complete her thesis and land a prestigious job, must confront the sudden reappearance of her old boyfriend, after his two-year, unexplained absence."
2221,"This is the story of Ana, a first generation Mexican-American teenager on the verge of becoming a woman. She lives in the predominately Latino community of East Los Angeles. Freshly graduated from high school, Ana receives a full scholarship to Columbia University. Her very traditional, old-world parents feel that now is the time for Ana to help provide for the family, not the time for college. Torn between her mainstream ambitions and her cultural heritage she agrees to work with her mother at her sister's downtown LA sewing factory. Over the summer she learns to admire the hardworking team of women who teach her solidarity and teamwork. Still at odds with what her mother expects of her, Ana realizes that leaving home to continue her education is essential to finding her place proudly in the world as an American and Chicana."
2222,"Four bodies are found in New York City. Why, why, why? The coincidence? They all died 48 hours after logging on to a site named feardotcom.com. Tough detective Mike Reilly collaborates with Department of Health associate Terry Huston to research these mysterious deaths. The only way to find out though what really happened is to enter the site itself..."
2223,"Based on an attraction at Disneyland, the Country Bear Jamboree, ""The Country Bears"" (2002) is one in a long line of live action Disney family films. The movie is a satire of Behind the Music rock & roll bands. Beary, a young bear raised by a human family in a world where humans and talking bears coexist, attempts to trace his roots. He meets up with the Country Bears, a long-since broken-up band, a parody of bands like the Eagles. Beary helps the Country Bears reunite for one final concert, while searching for who he truly is."
2224,"1953. Desmond Doyle is devastated when his wife abandons their family on the day after Christmas. His unemployment and the fact that there is no woman in the house to care for the children, Evelyn, Dermot and Maurice, make it clear to the authorities that his is an untenable situation. The Irish courts put the Doyle children into Church-run orphanages. Although a sympathetic judge assures Desmond that he'll get his children back after he gets a job, he learns there's another barrier. During that time, Evelyn suffers abuse while Desmond goes to court to get his children back. A barmaid, her brother, her suitor, and a tippling footballer become Desmond's team."
2225,"Dave, Sam and Jeff are about to graduate from Holden University with Honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during the final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school."
2226,"Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will."
2227,"The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress."
2228,"Two friends that call each other Gerry decide to hide in the wilderness in order to see something. However, they do not find what they're looking for. They decide to return to the car but they get lost in the desert, without water, supplies or a compass. Now they have to walk, trying to find the road to survive."
2229,"In 1965, Bob Crane, who had achieved some earlier success as a television supporting actor, was working as a successful morning radio DJ at KNX Los Angeles. Despite enjoying his work, photography (especially of the female form) and drumming, Crane wanted to be a movie star. So it was with some reluctance that he accepted the title starring role in a new television sitcom called Hogan's Heroes (1965), a WWII POW comedy. To his surprise, the show became a hit and catapulted him to television stardom. The fame resulting from the show led to excesses and a meeting with home video salesman and technician John Carpenter, with who he would form a friendship based on their mutual interests, namely excessive sex (for Crane, purely heterosexual sex) and capturing nude females on celluloid. His fame allowed Crane to have as much sex as he wanted, which was incongruent to his somewhat wholesome television friendly image, and the way he portrayed himself to almost everyone except Carpenter and his extramarital sex partners. His sex addiction was somewhat known but ignored by his high school sweetheart/first wife Anne Crane née Terzian, but well known by his second wife, Patti Olson, better known as Sigrid Valdis, his Hogan's Heroes co-star. Especially after the end of Hogan's Heroes in 1971, this incongruence and his friendship with Carpenter, with who he would have a continuing love/hate relationship, would contribute to both his professional and personal downfall."
2230,"William Hundert is a passionate and principled Classics professor who finds his tightly-controlled world shaken and inexorably altered when a new student, Sedgewick Bell, walks into his classroom. What begins as a fierce battle of wills gives way to a close student-teacher relationship, but results in a life lesson for Hundert that will still haunt him a quarter of a century later."
2231,"Roland Michell is an American scholar trying to make it in the difficult world of British Academia. He has yet to break out from under his mentor's shadow until he finds a pair of love letters that once belonged to one of his idols, a famous Victorian poet. Michell, after some sleuthing, narrows down the suspects to a woman not his wife, another well known Victorian poet. Roland enlists the aid of a Dr. Maud Bailey, an expert on the life of the woman in question. Together they piece together the story of a forbidden love affair, and discover one of their own. They also find themselves in a battle to hold on to their discovery before it falls into the hands of their rival, Fergus Wolfe."
2232,"Two brothers, Leon and Bobby are members of the street gang in Brooklyn known as the deuces. Their brother was killed by a drug overdose a few years earlier and the gang is determined to keep drugs off their block. Another more vicous gang known as the vipers is a possible threat to Leon and Bobby's efforts. The deuces are determined to do whatever is necessary to keep drugs off their block even if that means dying."
2233,"Seventeen year old Jason Slocumb, Jr. - Igby to most that know him - comes from east coast old money, the second son of self-absorbed and controlling Mimi Slocumb and medically-diagnosed schizophrenic Jason Slocum, Sr., the latter who has for several years been institutionalized in a Maryland psychiatric facility. While Igby's economics-studying Columbia-attending older brother Ollie Slocum has embraced and aspires to continue their wealthy life, Igby has rebelled against it, considering his brother a fascist (although he could soften that label to Republican). Because of Jason's situation, Mimi has largely left the role of male role model for Ollie and Igby to their godfather, D.H. Banes. Igby's rebellion has led to him being kicked out of one prep school after another, the latest, a military academy, from which Igby escapes before he can graduate. As such, Mimi and D.H. arrange for Igby to live in New York with Ollie for the summer while working for D.H. renovating some of his properties, before Mimi arranges for yet another strict school for the fall so that Igby can at least graduate. Igby is largely able to hide out for most of the summer with the help of Rachel, D.H.'s younger heroin addict mistress, and Sookie, a slightly older waitress with who he falls in love. An issue with Sookie and the aftermath of a joint mission with Ollie leads to Igby having a clearer picture of what his immediate future will look like."
2234,"Love, retribution and redemption. Devastated by her husband's death from a drug overdose, Philippa, a British teacher living in Turin, Italy, tries to bring justice to the biggest drug dealer in Turin when the local police ignore her information about him. In building a home-made bomb and setting off a plan that fails miserably, her status changes from young widow to that of a criminal in custody. Young police officer Filipo descends into Philippa's life, changing her bleak outlook on existence into one in search of tranquility among corruption, as they become unlikely soul mates and lovers."
2235,"New York City homicide detective Vincent LaMarca has forged a long and distinguished career in law enforcement, making a name for himself as a man intensely committed to his work. But on his latest case, the stakes are higher for Vincent--the suspect he's investigating is his own son. He and Joey have been painfully estranged ever since Vincent divorced his wife and left the decaying boardwalks of Long Beach, Long Island for the anonymity of Manhattan and a successful career with the NYPD. He lives his life in solitude, keeping his girlfriend at arm's length; the closest relationship he maintains is with his partner, Reg--and Vincent makes sure that stops at the precinct door. As long as Vincent lives in the protection of the present, he doesn't have to deal with the pain of his past--or his sorrow over his broken relationship with Joey. But this murder investigation is drawing Vincent home to Long Beach, the self-proclaimed City by the Sea, where the past has been waiting for him to return. The agonizing memory that has tortured him all his life--the death of his father, a convicted murderer who was executed when Vincent was just a boy--still plagues him. In the course of the investigation, he discovers that his own unresolved pain and failures as a father have deeply influenced Joey's life, and now his 18-month-old grandson may be fated to follow their self-destructive paths."
2236,"FBI agent Jake Malloy just can't nail a serial killer who's been targeting cops. The killer has already killed nine cops. Not only does the killer despise policemen, but he also has a grudge against Malloy for pursuing him during a string of prostitute murders four years ago. The killer finally decides to hit Malloy where it hurts, killing one of Malloy's friends on the force, and brutally killing Malloy's fiancé Mary. The grief sends Malloy off the deep end and causes him to become alcoholic, forcing Malloy's colleague, Detective Hendricks, to sign Malloy up at a remote detox clinic in a snow-covered part of Wyoming. The clinic specializes in rehabilitating alcoholic cops. But the killer murders another patient and assumes the patient's identity at the clinic. While Malloy participates in group therapy sessions, the killer starts killing the patients. Among the endangered patients are Jaworski, Slater, Noah, Conner, and a dozen others, one of whom must be the killer. One by one, the patients start falling prey to the killer and, starting with the facility's director, Doc, the killer starts targeting the staff as well."
2237,"A young woman in Paris is about to divorce her husband when she discovers... he's dead; and all their money is gone. She meets a mysterious man, who tells her that the money was really his, and he wants it back, seemingly convinced that she's hiding the cash. Meanwhile, more people end up dead..."
2238,"Penny's love for her partner, taxi-driver Phil, has run dry. He is a gentle, philosophical guy, and she works on the checkout at a supermarket. Their daughter Rachel cleans in a home for elderly people, and their son Rory is unemployed and aggressive. The joy has gone out of Phil's and Penny's life, but when an unexpected tragedy occurs, they are brought together to rediscover their love. All or Nothing is set on a London working-class housing estate over a long weekend, and also tells the stories of a range of Phil and Penny's neighbors, some of whom become involved in the family's lives, and all of whom experience an emotional journey."
2239,Arty film-within-a-film revolves around seven people with little in common whose lives collide.
2240,A criminal mastermind has set in motion a plan to infiltrate a high tech prison in order to persuade a death row inmate to reveal the whereabouts of $200 million worth of gold. It's up to an undercover FBI agent to stop him before it's too late.
2241,"This romantic comedy centers on a romance between an A&R exec, Dre, at a hip-hop label and a magazine editor, Sidney, who have known each other since childhood.. They find themselves drifting towards being more than friends, even as Dre is engaged, and Sidney starts being wooed by a handsome basketball player."
2242,A bounty hunter chases and catches suspects all over Miami . He ends up getting shot at and start to second guess his job as a bounty hunter . While he feels he need to be making more and having real money . Meanwhile Reggie Wright will soon be his next target after playing and winning the lotto at the liquor store . The two are in for a wild journey ahead of them after witnessing an attempt diamond heist. They decided to put aside the arguing and differences to recover the stones and turn in Reggie's and Gina lotto ticket .
2243,"In West Hollywood, Suzette, now on the far side of middle age, has always been a party girl, leading a life solely for the here and now. When the here and now leads to her without a job, no money and thus no sense of whether her partying life has gotten her anywhere, she decides to go into her distant past to visit in Phoenix an old friend, Vinnie, who she has not seen or talked to in twenty years. In their shared past, Suzette and Vinnie were Los Angeles groupies coined the Banger Sisters for their penchant to sleep with any and all rock musicians who came through Southern California. Suzette does know however that Vinnie's life has changed, she married to Raymond, a lawyer who has political aspirations, the two who have two teenaged daughters. It is in part the reason she decides to visit now well off Vinnie, to see if she will lend her some money. Suzette reconsiders when she finds out just how far Vinnie has changed. She now goes by her full given name Lavinia, and is not only the model of conservatism and respectability, but will go to extreme lengths to control this respectable agenda, which probably does not include a friend from their wild past. Suzette guesses that Vinnie's family may not know about her past life. If Suzette does decide to see Vinnie, she may upset Vinnie's apple cart for good or bad. Suzette's life is also mutually affected by Harry Plummer, a man she picks picks up on the way to Phoenix. With an extreme case of OCD, fifty year old Harry is failed Hollywood screenwriter who is returning to his hometown of Phoenix to conclude some business regarding what he considers his failed life."
2244,"Recently ordained a priest, 24-year-old Father Amaro is sent to a small parish church in Los Reyes, Mexico to assist the aging Father Benito in his daily work. Benito--for years a fixture in the church as well as the community--welcomes Father Amaro into a new life of unseen challenges. Upon arriving in Los Reyes, the ambitious Father Amaro meets Amelia, a beautiful 16-year-old girl whose religious devotion soon becomes helplessly entangles in a growing attraction to the new priest. Amelia is quickly following into the footsteps of her mother, Sanjuanera, who has been engaged in a long-time affair with Father Benito. Amaro soon discovers that corruption and the Church are old acquaintances in Los Reyes. Father Benito has been receiving financial help from the region's drug lord for the construction of a new health clinic. As well, another priest in the diocese, Father Natalio, is suspected of assisting guerilla troops in the highlands. Maenwhile, Amelia and Father Amaro have fallen in love and have begun a passionate sexual relationship. As things become increasingly more complicated in the small community, the walls around Father Amaro begin to crumble. Torn between the divine and the carnal, the righteous and the unjust, Father Amaro must summon his strength to choose which life he will lead."
2245,"South Asian Ramu Gupta has always been fascinated with western movie musicals and has wanted to be an American movie star primarily as a dancer. So when he hears from his friend Vijay Rao about his fabulous life in Manhattan with a penthouse apartment and Mercedes, Ramu decides to move from his home in Delhi to the US to live with Vijay as he pursues his dream of being a star. Upon his arrival in Manhattan, Ramu learns that Vijay's life is nothing like he mentioned, he driving a cab and living in a run down cramped top floor apartment with two fellow South Asian roommates, Ramu who would be the fourth in the apartment. Ramu nonetheless just wants a chance to prove himself in the entertainment business. Among Ramu's many missteps include stumbling into the porn movie business where he can't get it up in such a setting anyway, and working as a waiter at least to earn some money. But it is a wait job at a private South Asian themed birthday party for a lost and directionless socialite named Lexi organized by her overbearing mother Chantal that Ramu gets a chance at a somewhat legitimate acting job when he is asked to fill-in at the last minute at the party for an incapacitated Swami Bu. Having no credentials as a swami, he decides to dance and channel the sex advice given to him by Sharonna, one of his porn co-stars. Ramu and the information are a hit, especially with Lexi, who feels she has found her own voice for the first time in her life. As such, she wants to help Ramu spread the swami word, most specifically as a sex guru, to the masses. Not knowing what that word is, Ramu again turns to Sharonna for advice, she in turn believing he is asking solely to further his career in porn. Sharonna agrees to mentor him on the condition that he not divulge what she would teach and tell him to anyone as they are her innermost thoughts as a way to cope with her own life. That life is a double one, where her firefighter fiancé Rusty, a devout Catholic, knows nothing about her being a porn star, believing she is just Shari, an innocent (i.e. virginal) substitute public school teacher. As Ramu becomes more and more successful in this pseudo acting job with the help of both Sharonna and Lexi, he has to reconcile this success with the fact that it is all a lie. He also has to reconcile it with his burgeoning romantic feelings for Sharonna, most specifically reconciling the fact that he has not only lied to her, but betrayed her confidence."
2246,"In Blue Springs, Montana, high school student Roy Chutney is beginning to lose his way in life largely the result of two simultaneous events. The first is that his father, Nelson Chutney, dies. Roy hadn't seen his father much since his parents divorced and his father remarried. Nelson was run over by a train, but Roy's mother, Evangeline Chutney, with who Roy has a somewhat emotionally distant relationship, believes he committed suicide. The second is that because funding to the school has reduced the football program to just a varsity team with no junior varsity, Roy, along with half the other players, is cut from the football squad, as his coach doesn't believe he is mentally tough enough despite he being a skilled player. The two incidents combined make the situation even worse for Roy as football was his primary connection to his father. Into Roy's life enters Gideon Ferguson, the local newspaper seller, who asks Roy to be part of his newly formed football team, which will play in a six-man back field league. Gid ends up being that father figure that is missing in Roy's life. That guidance is especially important as Roy begins his first sexual relationship, with Skyla Sisco, a local barmaid. However, Roy and Gid's relationship begins to change when rumors abound that Gid is gay and is romantically interested in Roy. Roy has to wade through the rumors and his own feelings both for Gid and Skyla in figuring out what to do regarding his relationships with them."
2247,"A con man flees to Southeast Asia when an international scam he was involved in goes sour. Suspecting he's been double-crossed by his long-time mentor, he sets off to Cambodia for his promised cut. What he finds there is a mysterious and hostile environment where even the most polished criminal can end up on deadly ground."
2248,"2001: men without jobs, in the port city of Vigo. Six men worked in a shipyard, now shuttered. They pass the time at La Naval, a bar opened by one of them after the yard closed. They face their futures in makeshift ways: Rico has his bar and a sharp 15-year-old daughter, Reina has become a watchman and a moralizer, Lino fills out job applications, Amador drinks heavily and talks of his wife's return; José is married to Ana, who works at a cannery and tires of being the breadwinner amidst José's emasculated moodiness; Santa, the group's conscience and troublemaker, occasionally fantasizes about Australia. In truth, all are joined like Siamese twins, adrift."
2249,"In the city of Townsville, the frustrated Professor Utonium is gathering all the ingredients to make a perfect little girl (sugar, spice, and everything nice). But when his lab assitant, a monkey named Jojo, causes the accidental addition of Chemical X to the mix, the Professor ends up with not one but 3 perfect, powerful little girls. It soon becomes obvious that Blossom, Bubbles, and Buttercup are not normal girls, they have superpowers and have not yet learned to control. The girls are treated like outcasts because they have inadvertently wrecked Townsville in a superpowered game of tag. To win the hearts of the people of Townsville, the girls are tricked into making a deal with Jojo who plans to take over Townsville. As the girls foil this threat and defeat an army of superpowered monkeys, the Powerpuff Girls learn that with great power comes great responsibility."
2250,"On an African safari, Eliza Thornberry discovers that thanks to a shaman, she can now talk to animals. When Eliza discovers that poachers in Africa's Serengeti Desert plan to kill an elephant herd with an electrified fence, she and her chimpanzee friend Darwin must somehow find a way to stop them."
2251,"When petty thief Cosimo is given the plan for the perfect heist from a lifer in prison - the kind of job you dream about - he has to get out of jail, fast. But with Cosimo stuck in the joint, it's up to his girl Rosalind to track down a patsy. But while no one wants to do the time for Cosimo's crime, everybody seems to know a guy who will - and for a share, they're willing to track him down. Before long, Rosalind has five guys trailing behind her, looking to get their bungling hands on a piece of the action."
2252,"Juwanna Mann follows the story of Jamal Jeffries, the reigning 'bad boy' of basketball, whose undisciplined on-court antics land him out of the league and without any prospects. Financially strapped and untrained in anything but basketball, Jamal comes up with a plan so outrageous it just might work: dress up like a woman and try out for the woman's basketball league. To his surprise, he makes it, but now the real challenge begins - to cease being Jamal and start new life as Juwanna. Matters become even more complicated when Juwanna realizes that he is falling for his teammate Michelle, who shows him that there is more to women than meets the eye."
2253,"A big time drug dealer Victor Rosa is looking to get out of the game and sees his chance with a big deal and a new friend who happens to be a Wall St. stockbroker. Thinking this will be his chance to go out on top, Victor soon finds out that he has been double crossed and his last option is to get revenge."
2254,"Ben is a perfectionist and overachiever whose tunnel vision leads to nothing less than graduating at the top of his class. As he struggles to achieve social success, he discovers his darker side. He and his friends: Virgil, Daric and Han lead a double life of mischief and petty crimes to alleviate the pressures of perfection. As their adopted identity grows, the gang tumbles into a downward spiral of excitement, excess and fun."
2255,"When a powerful developer named Mr. Scheck wants to knock down all the stores and houses in Arnold's neighborhood to build a huge ""mall-plex"", it looks likes the neighborhood is doomed to disappear. But with the help of a superhero and a mysterious deep-voiced stranger, Arnold and Gerald will need to recover a crucial document in order to save their beloved neighborhood."
2256,"Munich, 1918. German-Jew Max Rothman has returned to much of his pre-war life which includes to his wife Nina and their two children, to his mistress Liselore von Peltz, and to his work as an art dealer. He has however not returned to being an aspiring painter as he lost his dominant right arm during the war. He is approached by an aspiring painter, a thirty-year old Austrian war veteran named Adolf Hitler, who wants him to show his works. Although he doesn't think the paintings are all that original and he doesn't really like Hitler as a person, Rothman takes Hitler under his wings if only because of their camaraderie of being war veterans, and knowing that Hitler had nothing and no one to come back to after the war unlike himself. Rothman believes that Hitler has promise if only he can find his original artistic point of view. In part out of need for money, Hitler, on the urging of Captain Karl Mayr, agrees to work for the army as a political spokesman in anti-Semitic propaganda. Slowly, Hitler's view becomes a holistic one of a new world, where he begins to meld his art and politics. Rothman becomes excited about Hitler's artistic viewpoint, despite its anti-Semitic bent. The question becomes if the sentiments behind the view will take over its artistic merit."
2257,"In San Francisco, we follow Johnny, a man who has a girlfriend, Lisa, and also his best friend, Mark. Lisa has been cheating on Johnny with Mark and Johnny doesn't know! Will Johnny ever find out? Will Mark still be Johnny's best friend?"
2258,"This swash-buckling tale follows the quest of Captain Jack Sparrow, a savvy pirate, and Will Turner, a resourceful blacksmith, as they search for Elizabeth Swann. Elizabeth, the daughter of the governor and the love of Will's life, has been kidnapped by the feared Captain Barbossa. Little do they know, but the fierce and clever Barbossa has been cursed. He, along with his large crew, are under an ancient curse, doomed for eternity to neither live, nor die. That is, unless a blood sacrifice is made."
2259,"The lead character, called 'The Bride,' was a member of the Deadly Viper Assassination Squad, led by her lover 'Bill.' Upon realizing she was pregnant with Bill's child, 'The Bride' decided to escape her life as a killer. She fled to Texas, met a young man, who, on the day of their wedding rehearsal was gunned down by an angry and jealous Bill (with the assistance of the Deadly Viper Assassination Squad). Four years later, 'The Bride' wakes from a coma, and discovers her baby is gone. She, then, decides to seek revenge upon the five people who destroyed her life and killed her baby. The saga of Kill Bill Volume I begins."
2260,"The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Hobbits: Frodo and Sam reach Mordor in their quest to destroy the ""one ring"", while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith."
2261,"Against the backdrop of aged has-been rock star Billy Mack's Christmas themed comeback cover of ""Love Is All Around"" which he knows is crap and makes no bones about it much to his manager Joe's chagrin as he promotes the record, several interrelated stories about romantic love and the obstacles to happiness through love for Londoners are presented in the five weeks preceding Christmas. Daniel's wife has just passed away, leaving him to take care of his adolescent stepson Sam by himself. Daniel is uncertain how to deal with Sam and his problems without his wife present, especially in light of a potential budding romance within their household. Juliet and Peter have just gotten married. They believe that Peter's best friend and best man Mark hates Juliet but won't say so to his or her face. Others looking at the situation from the outside believe Mark is jealous of Juliet as he is in love with Peter himself. Jamie, a writer, is taking a writing retreat by himself in rural France following catching his latest girlfriend in an indiscretion. Jamie ends up spending much time in France with Aurélia, the Portuguese woman hired as the housekeeper. The question becomes not only if they can communicate their day-to-day needs with each other as she speaks no English, he speaks no Portuguese, and neither speaks French well, but communicate what seems to be their increasing mutual attraction to each other. Sarah has been in love with her co-worker Karl for the two years they have worked together, this attraction which everyone in their workplace knows about. Sarah has to decide if she can be forward enough to express this love directly to Karl, especially in light of what has been her personal priority of dealing with a family issue. Harry and Karen have been in a stable long term marriage. His new assistant Mia drops hints to him that she would like them to be romantically involved. Harry has to decide whether to fall to the temptation, especially considering being married to a perceptive wife. Single and relatively young David is the newly elected Prime Minister. At 10 Downing Street, he is attracted to one of the new household servants, slightly overweight Natalie, but isn't sure what to do about it seeing as to their respective positions, the probable public scrutiny, and an incident involving the visiting U.S. President. Socially unaware Colin believes that the lack of romantic love in his life is all the fault of standoffish British women. As such, he decides to take decisive albeit somewhat unusual geographic action. And John and Judy are movie body doubles. They can communicate with each other straightforwardly while they are simulating sex filming a movie, but they may not be able to translate the feelings behind that simulation in real life to each other."
2262,N/A
2263,N/A
2264,"In the summer of 1975 in a neighborhood in Boston, 3 kids, Dave Boyle and two of his friends, Jimmy and Sean, are playing on the sidewalk when Dave gets abducted by two men and endures several days of sexual abuse. Eventually, Dave escapes traumatized throughout adulthood. Jimmy is an ex-con and a father of three, whose daughter Katie, is found dead and Dave becomes the number one suspect. Sean is a homicide detective, investigating Katie's murder, ends up finding himself faced with past and present demons as more is uncovered about Katie's murder. Learning Katie had a boyfriend, ballistics later turn up a gun belonging to the father, which then puts her boyfriend as the suspect. Will Sean find out who killed Katie? Will Jimmy make it through the investigation? And will Dave ever find out what really happened when he was abducted?"
2265,"Bruce Banner, a brilliant scientist with a cloudy past about his family, is involved in an accident in his laboratory causing him to become exposed to gamma radiation and Nanomeds (A tiny life-form that is supposed to heal wounds but has killed everything with which they have made contact). Confused and curious about his survival, Banner discovers that since the accident, whenever he becomes angry he transforms into a giant green monster destroying everything in sight in an act of fury. Bruce's mysterious past and the answer to why the radiation had this effect becomes revealed to him as his Birth Father David Banner intervenes with hopes to continue experimenting on him."
2266,"A clown fish named Marlin lives in the Great Barrier Reef loses his son, Nemo. After he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. So, while Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbor. While the two are doing this, Nemo and the other sea animals in the dentist's fish tank plot a way to return to Sydney Harbor to live their lives free again."
